Date,Mean Temperature (K),Max Temperature (K),Min Temperature (K)

2020-01-01,299.19583962792825,301.56336975097656,295.8531494140625

2020-02-01,299.2726221325102,301.7045593261719,296.0889434814453

2020-03-01,298.83563428923827,301.13165283203125,295.72886657714844

2020-04-01,298.71149137686933,300.9887390136719,295.58750915527344

2020-05-01,299.26263183985697,301.8118896484375,296.0176239013672

2020-06-01,298.3688960046351,300.4331817626953,295.4304504394531

2020-07-01,298.0271180667273,299.9698181152344,295.14990234375

2020-08-01,298.1533694384974,300.5096130371094,294.8261260986328

2020-09-01,298.31002170430816,300.5284881591797,295.1506652832031

2020-10-01,298.6377232577284,301.2150421142578,295.34519958496094

2020-11-01,299.00150961789467,301.6324920654297,295.5893859863281

2020-12-01,298.87500004593255,301.40203857421875,295.7608642578125

